,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12
59,0,0,3,2,3,3,5,6,3,2,0
60,1,1,2,1,1,1,6,1,2,3,7
61,1,1,2,4,4,2,2,3,1,8,1
62,0,2,1,3,2,4,0,0,7,1,10
63,1,2,2,1,1,1,2,3,1,8,1
64,1,1,2,4,4,2,3,5,5,6,2
65,1,2,1,1,1,1,0,0,0,9,3
66,1,1,2,4,4,2,3,5,5,6,2
67,1,1,2,1,1,1,6,1,2,3,7
68,0,0,0,0,0,0,1,7,0,0,9
69,1,1,2,4,4,2,3,5,9,10,2
70,1,1,2,1,1,1,6,1,2,3,7
71,1,2,1,3,2,4,2,3,7,8,10
72,1,2,2,1,1,1,6,1,2,3,7
73,1,1,2,4,4,2,3,5,5,6,2
74,1,1,2,1,1,1,6,1,2,3,7
75,0,0,0,0,0,0,1,7,8,1,4
76,1,2,1,3,2,4,2,3,1,8,1
77,1,2,0,1,1,1,6,1,2,3,7
78,1,1,2,4,4,2,2,3,1,8,1
79,1,2,0,1,1,1,6,1,0,0,0
80,1,2,1,1,1,1,6,1,2,3,7
81,1,2,0,1,1,1,6,1,0,0,0
82,0,0,0,0,0,0,1,7,6,0,9
83,1,2,1,1,1,1,6,1,0,9,3
84,1,1,2,4,4,2,3,8,9,10,11
85,0,0,3,2,3,3,5,6,3,5,6
86,1,2,0,1,1,1,0,0,0,9,0
87,1,2,1,3,2,4,0,0,0,9,3
88,1,1,2,4,4,2,3,5,5,6,2
89,1,1,2,4,4,2,3,8,9,10,11
90,1,1,2,4,4,2,3,8,9,10,11
91,0,0,3,2,3,3,5,6,8,2,4
92,1,1,2,4,4,2,4,2,4,4,8
93,0,0,3,2,3,3,5,6,3,5,0
94,1,2,1,3,2,4,2,3,1,8,4
95,0,0,3,2,3,3,5,6,8,2,4
96,1,2,1,3,2,4,0,0,0,9,0
97,0,0,0,0,0,0,1,7,6,0,9
98,1,1,2,4,4,2,3,8,9,10,11
99,1,1,2,4,4,2,3,5,5,6,2
100,1,1,2,4,4,2,2,3,1,8,1
101,0,2,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,1,7,6,2,9
103,0,0,3,0,0,0,1,7,8,2,9
104,1,1,2,4,4,2,3,8,9,10,11
105,0,2,1,0,2,4,1,7,6,7,10
106,0,0,3,0,5,6,1,7,6,7,9
107,1,1,2,1,1,1,6,1,2,3,7
108,0,0,0,0,0,0,1,7,0,0,9
109,1,1,2,1,1,1,6,1,2,3,7
110,1,1,2,1,1,2,2,3,1,8,1
111,0,2,0,0,0,0,1,7,0,0,0
112,1,2,1,1,1,1,6,1,1,8,1
113,1,1,2,4,4,2,3,5,5,6,2
114,1,2,1,3,2,4,2,3,1,8,10
115,1,2,1,3,2,4,2,3,1,8,10
116,1,2,1,1,1,1,6,1,2,3,7
117,1,2,1,1,1,1,6,1,2,3,7
118,1,2,2,1,1,1,0,0,0,3,7
119,1,2,2,1,1,1,6,1,2,9,3
120,1,1,2,4,5,5,4,2,4,4,8
121,1,1,2,4,4,5,3,0,0,9,3
122,1,1,2,4,4,2,3,8,9,10,11
123,1,2,0,1,1,1,6,1,2,3,7
124,1,2,1,1,1,1,2,3,1,8,7
125,0,0,0,0,0,0,0,0,0,0,0
126,1,2,1,1,2,1,2,3,1,8,1
127,1,2,1,3,2,4,2,3,1,8,1
128,0,0,3,2,3,3,5,6,3,5,6
129,0,0,3,3,3,3,0,0,7,1,0
130,0,0,3,2,3,3,5,6,3,5,6
131,1,1,2,4,4,2,3,5,5,6,2
132,1,2,1,1,1,1,6,1,1,8,1
133,1,2,1,3,2,1,2,3,1,8,1
134,1,1,2,1,1,1,6,1,2,3,7
135,1,2,2,1,1,1,6,1,2,3,7
136,0,0,0,0,0,0,1,7,6,0,9
137,1,1,2,4,4,2,3,5,5,6,2
138,1,1,2,4,4,2,3,5,5,6,2
139,1,1,2,4,4,2,3,5,9,10,2
140,1,1,2,4,4,2,3,8,9,10,11
141,1,1,2,4,4,2,3,5,5,6,2
142,1,2,1,3,2,4,2,3,7,1,10
143,1,2,1,3,2,4,2,3,1,8,1
144,1,1,2,4,4,2,3,5,5,10,2
145,1,2,1,3,2,4,0,0,7,1,0
146,1,1,2,4,4,2,3,5,9,10,2
147,1,2,1,1,1,1,6,1,2,3,7
148,1,1,2,4,4,2,3,8,9,10,11
149,1,2,1,3,2,1,2,3,1,8,1
150,1,1,2,4,4,2,3,5,9,10,2
151,1,2,1,3,2,4,2,3,1,8,10
152,1,2,1,1,2,1,0,0,0,9,3
153,1,1,2,1,1,1,6,1,2,3,7
154,0,2,1,3,2,4,0,0,7,1,10
155,1,1,2,1,1,1,4,1,0,9,3
156,1,1,2,4,4,2,3,5,5,6,2
157,1,2,1,1,1,1,6,1,2,9,3
158,1,2,1,3,2,4,2,3,7,8,10
159,1,2,1,3,2,4,0,0,0,9,3
160,1,1,2,4,4,2,3,5,5,6,2
161,1,1,2,1,1,1,6,1,2,3,7
162,1,1,2,4,4,2,3,5,1,8,1
163,1,1,2,4,4,2,2,3,1,8,1
164,0,0,0,0,0,0,1,7,0,0,9
165,1,2,1,3,2,4,2,3,1,8,10
166,1,1,2,4,4,2,2,3,1,8,1
167,0,0,3,2,3,3,5,6,3,1,4
168,1,2,1,1,1,1,6,1,2,3,7
169,1,1,2,4,4,2,3,5,5,6,2
170,1,1,2,4,4,2,6,5,5,6,2
171,1,2,1,3,2,4,2,3,1,8,10
172,1,1,2,4,4,2,3,5,5,6,2
173,1,2,0,1,1,1,6,1,0,9,3
174,1,1,2,1,1,5,4,1,4,9,3
175,1,2,1,1,1,1,6,1,2,3,10
176,0,2,1,3,2,4,0,0,0,1,10
177,1,1,2,1,1,1,6,1,2,3,7
178,0,2,1,3,2,4,2,3,1,8,10
179,1,1,2,4,4,2,3,5,5,6,2
180,0,0,3,0,3,3,5,6,7,1,4
181,1,1,2,4,4,2,3,5,5,6,2
182,0,0,3,2,3,3,5,6,3,2,6
183,1,2,1,3,2,4,2,3,0,9,3
184,1,1,2,4,4,2,3,5,9,10,2
185,1,2,1,3,2,4,2,3,1,8,1
186,0,0,3,0,0,0,1,7,6,2,9
187,1,2,1,3,2,4,2,3,1,8,1
188,0,0,3,0,0,0,1,7,8,2,9
189,0,2,1,3,2,4,0,0,7,1,10
190,1,1,2,4,4,2,3,8,9,10,11
191,0,0,3,2,3,3,5,6,8,2,4
192,1,1,2,4,4,2,3,5,5,6,2
193,1,2,1,3,2,4,2,3,1,8,1
194,0,0,3,0,0,0,1,7,8,2,4
